gender,customer_age,country,city,customer_segment,membership_type,acquisition_channel,payment_method,preferred_device,product_category,subscription_type,annual_income,account_balance,total_spending,average_order_value,number_of_orders,days_since_last_order,website_visits,support_tickets,discount_usage,refund_amount,lifetime_value,churn,days_since_login,days_since_purchase,customer_tenure_days,subscription_duration_days,orders_per_visit,spending_per_order,refund_rate,support_tickets_per_order
Female,25.0,mexico,-,at risk,Basic,social media,cc,mobile,fashion,,40073.163889158524,31.45493464429578,244.0,76.51248933748424,3.0,204.0,11.0,5.0,,304.07451924393416,161.49335535714303,0,137.0,205.0,839.0,,0.2727272727272727,81.33333333333333,1.2462070460816974,1.6666666666666667
Male,33.0,australia,sydney,at risk,,affiliate,,mobile,books,monthly,22000.0,-33.93575364685871,530.5079689869871,93.73281367396993,5.0,22.0,4.0,6.0,,72.85522286723364,513.0027487578841,1,6.0,23.0,1286.0,30.0,1.25,106.10159379739741,0.13733106216359348,1.2
Female,53.0,france,paris,vip,Platinum,affiliate,giftcard,mobile,beauty,annual,28495.716281342342,689.6095108147844,1351.29,168.9460007500417,9.0,81.0,29.0,3.0,1.0,13.242879654798044,1726.2619113783849,0,,82.0,1005.0,1095.0,0.3103448275862069,150.14333333333332,0.009800175872535165,0.3333333333333333
Female,38.0,germany,hamburg,regular,Gold,email campaign,giftcard,mobile,beauty,annual,59384.09928209819,809.3229133956987,2546.94557029017,59.4678614474072,36.0,13.0,42.0,1.0,1.0,0.5099317859104724,2558.118216316428,1,5.0,14.0,2162.0,730.0,0.8571428571428571,70.74848806361584,0.0002002130677069697,0.027777777777777776
Male,41.0,france,marseille,regular,Basic,organic search,debit_card,desktop,home & garden,monthly,83009.98,708.77,931.7579074858828,46.15379163314423,20.0,7.0,37.0,5.0,0.0,35.58539763461529,1087.3376248567533,0,10.0,8.0,1748.0,90.0,0.5405405405405406,46.58789537429414,0.03819167763290965,0.25
Female,29.0,germany,berlin,regular,,email campaign,,mobile,electronics,,79457.2693876248,38.83120919938758,216.43134945650596,,20.0,1.0,38.0,1.0,1.0,86.2563558277199,235.36747625026973,1,5.0,2.0,1066.0,,0.5263157894736842,10.821567472825297,0.39853910278859106,0.05
Male,44.0,france,marseille,regular,Premium,,banktransfer,,toys,monthly,,1.8217804552947439,1025.1341010211656,70.3688060837616,16.0,192.0,20.0,2.0,4.0,21.709508365116168,1149.9372750518746,1,203.0,193.0,2162.0,90.0,0.8,64.07088131382285,0.021177237537499435,0.125
Female,51.0,australia,melbourne,regular,Premium,referral,paypal,mobile,home & garden,annual,68400.75023125303,526.915626594987,249.99674260883154,17.54557799618373,14.0,82.0,27.0,4.0,2.0,100.0,254.96153155464347,0,62.0,83.0,1716.0,1855.0,0.5185185185185185,17.85691018634511,0.40000521189377825,0.2857142857142857
Female,30.0,japan,osaka,regular,Basic,social media,paypal,mobile,home & garden,,21163.68095985798,491.98613703428464,100.0,164.03136807099412,1.0,118.0,31.0,1.0,1.0,76.10055495959833,99.01751886413142,0,43.0,89.0,264.0,,0.03225806451612903,100.0,0.7610055495959833,1.0
Male,,italy,milan,,Gold,referral,dc,mobile,books,annual,49192.57783840083,609.3477313038778,480.0118708263801,45.14016898199851,9.0,40.0,41.0,0.0,,109.0,563.5050529456316,1,51.0,41.0,725.0,1460.0,0.21951219512195122,53.33465231404224,0.22707771749966826,0.0
Female,31.0,germany,cologne,at risk,Basic,organic search,giftcard,mobile,groceries,,48040.201163814396,97.78453802185835,400.0,116.6392427139871,3.0,96.0,9.0,6.0,3.0,34.244690108939665,399.47577505088884,0,19.0,97.0,1114.0,,0.3333333333333333,133.33333333333334,0.08561172527234916,2.0
Female,,brazil,brasilia,regular,Premium,email campaign,paypal,,beauty,,29429.03,290.68690475095593,410.13445369583917,51.35704332125712,9.0,43.0,21.0,3.0,4.0,41.912461047864596,476.29630848088993,0,42.0,44.0,1177.0,30.0,0.42857142857142855,45.570494855093244,0.10219200233040504,0.3333333333333333
Male,39.0,japan,tokyo,new,Premium,social media,bank transfer,mobile,books,,35962.65991354265,207.83027025747884,2677.8914726399394,106.9958688904006,24.0,91.0,23.0,6.0,3.0,2.0,3421.311752333557,0,145.0,92.0,2160.0,,1.0434782608695652,111.57881135999747,0.0007468562562874681,0.25
Male,48.0,germany,hamburg,regular,Gold,referral,dc,mobile,sports,annual,56518.0,465.75,3989.3793779286048,261.4725474864398,13.0,82.0,36.0,0.0,5.0,31.316764846842442,4239.236601476706,0,41.0,,1628.0,1460.0,0.3611111111111111,306.8753367637388,0.007850034273527269,0.0
Female,42.0,germany,munich,at risk,Basic,,banktransfer,desktop,beauty,monthly,61661.31527830616,500.0,100.0,8.866959155548084,12.0,65.0,10.0,4.0,5.0,0.0,88.35092990040499,1,6.0,66.0,1665.0,30.0,1.2,8.333333333333334,0.0,0.3333333333333333
Male,37.0,canada,calgary,regular,Gold,social media,debitcard,mobile,beauty,monthly,32998.91,-200.0,101.35529201339325,38.4639391653204,3.0,69.0,24.0,6.0,1.0,7.391767224972193,108.45147030628968,1,29.0,70.0,140.0,60.0,0.125,33.78509733779775,0.07292926770903518,2.0
Female,50.0,france,paris,regular,Premium,organic search,,desktop,beauty,monthly,44412.99410733644,1141.2954678813667,558.2199705521815,49.83053219970844,10.0,23.0,36.0,0.0,2.0,30.42972210738102,,0,8.0,-5.0,778.0,30.0,0.2777777777777778,55.82199705521815,0.054512062829426305,0.0
Male,43.0,brazil,sao paulo,regular,Premium,affiliate,paypal,mobile,electronics,monthly,53006.79954826444,593.0,2322.56,131.65186165738754,17.0,32.0,19.0,3.0,4.0,11.374969211802936,2798.9982166228924,0,1.0,33.0,1749.0,150.0,0.8947368421052632,136.62117647058824,0.00489759972263491,0.17647058823529413
Male,57.0,brazil,sao paulo,at risk,Basic,social media,paypal,mobile,groceries,annual,125346.09475759273,-1.09925688147691,239.08671767184117,19.07936955882897,12.0,26.0,18.0,5.0,1.0,,212.87168919126418,0,34.0,27.0,1790.0,365.0,0.6666666666666666,19.923893139320096,,0.4166666666666667
Female,38.0,mexico,monterrey,new,Gold,paid ads,credit card,mobile,books,annual,29438.379975390195,-132.0,729.761398505873,58.74765126948085,11.0,58.0,24.0,4.0,,,638.982249816662,1,4.0,59.0,2202.0,365.0,0.4583333333333333,66.34194531871573,,0.36363636363636365
Male,34.0,brazil,rio de janeiro,new,Premium,email campaign,debit_card,desktop,toys,quarterly,52650.797995230845,229.56429529511476,200.0,89.71226822410969,2.0,247.0,12.0,5.0,6.0,,132.5270391254511,0,41.0,248.0,638.0,90.0,0.16666666666666666,100.0,,2.5
Male,32.0,france,paris,,Premium,affiliate,paypal,mobile,sports,,26269.066989440682,,100.0,23.669238359599802,3.0,42.0,22.0,1.0,6.0,36.381820103911565,61.35881626617439,0,37.0,43.0,137.0,,0.13636363636363635,33.333333333333336,0.36381820103911566,0.3333333333333333
Male,40.0,india,chennai,at risk,Basic,referral,bank_transfer,,fashion,annual,22759.28715300197,-14.435516347639545,399.58,122.22260623755321,3.0,59.0,13.0,8.0,1.0,59.19752422698209,488.2839445014031,1,19.0,60.0,1183.0,541.0,0.23076923076923078,133.19333333333333,0.14814936740322862,2.6666666666666665
Female,,italy,rome,vip,Premium,social media,creditcard,mobile,books,,36749.86793354096,763.6469900197286,263.4548664064619,14.170477701461264,17.0,42.0,42.0,1.0,2.0,40.0,247.16022318995078,0,30.0,43.0,1580.0,,0.40476190476190477,15.497345082733053,0.15182866251666588,0.058823529411764705
Male,,spain,madrid,regular,Gold,organic search,gift_card,mobile,home & garden,annual,23574.621332405462,-132.51429024337273,849.573836654886,63.86184615513906,12.0,5.0,32.0,2.0,1.0,128.71847199740895,821.3374216544894,0,4.0,6.0,1541.0,730.0,0.375,70.7978197212405,0.15150945855892334,0.16666666666666666
Male,37.0,italy,milan,dormant,Premium,paid ads,debit card,mobile,toys,annual,22097.917374011926,319.9512384028592,32.077865397696925,5.0,6.0,58.0,8.0,8.0,10.0,195.43190967373252,,1,20.0,59.0,2183.0,365.0,0.75,5.346310899616154,6.092422524092386,1.3333333333333333
Male,28.0,uk,manchester,vip,Platinum,referral,gift_card,mobile,sports,,31137.222238119026,,745.7274026553048,28.066701631083674,27.0,2.0,40.0,2.0,,50.1867541395632,922.1010968598787,0,4.0,3.0,2365.0,60.0,0.675,27.619533431677954,0.06729906123988964,0.07407407407407407
Female,45.0,brazil,brasilia,new,Premium,organic search,debitcard,desktop,beauty,,22260.10914254229,673.0,118.60082638114712,27.70532057994135,4.0,50.0,26.0,2.0,3.0,18.11423810879931,137.07423091755302,0,5.0,51.0,1201.0,,0.15384615384615385,29.65020659528678,0.15273281528904054,0.5
Male,,italy,naples,new,Basic,organic search,bank transfer,mobile,sports,,50362.83947060844,944.0489378777144,85.01980827612658,5.927690005647296,16.0,28.0,22.0,1.0,3.0,93.87352779325786,39.120300919221364,0,31.0,29.0,2079.0,,0.7272727272727273,5.313738017257911,1.1041371381169933,0.0625
Male,,germany,,,Gold,email campaign,gift_card,mobile,beauty,quarterly,50986.4177725974,284.0103001925997,104.6446965891103,26.30200678110452,4.0,36.0,,3.0,2.0,112.60399559644982,45.43561290964097,0,14.0,37.0,502.0,90.0,,26.161174147277574,1.0760602234682937,0.75
